Product Name,Final Price,Image URL
Samsung Galaxy A16 5G 8+256Gb-L.Green,"Rs 91,189.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PI-LGRN.jpg
Samsung Galaxy S25 12+256-Navy,"Rs 295,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S931BD-NAVY.jpg
Samsung Galaxy S25 12+256-Icy Blue,"Rs 295,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S931BL-IBLU.jpg
Samsung Galaxy A16 5G 8+256Gb-Gold,"Rs 91,189.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PI-GLD.jpg
Samsung Galaxy A06 6+128Gb-Gold,"Rs 49,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FH-GOLD.jpg
Samsung Galaxy A06 6+128Gb-L.Blue,"Rs 49,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FH-LBLU.jpg
Samsung Galaxy A06 4+128Gb-Gold,"Rs 40,599.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FG-GOLD.jpg
Samsung Galaxy A06 4+128Gb-L.Blue,"Rs 40,599.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FG-LBLU.jpg
Samsung Mobile F05 4+64Gb-D.Blue,"Rs 38,825.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E055FD-DBLU.jpg
Samsung Galaxy A06 4+64Gb-Gold,"Rs 39,799.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FD-GOLD.jpg
Samsung Galaxy A06 4+64Gb-L.Blue,"Rs 39,799.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FD-LBLU.jpg
Samsung Galaxy M15 5G 6+128 - Dark Blue,"Rs 75,199.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M156BG-DBLU.jpg
Samsung Galaxy M15 5G 6+128 - Grey,"Rs 75,199.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M156BG-GRY.jpg
Samsung Galaxy M15 5G 6+128 - Light Blue,"Rs 75,199.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M156BG-LBLU.jpg
