Product Name,Price
Eh I/C Wonder Cone Vanilla 120ml,Rs 150.00
Krest Chicken Meatballs 200g,Rs 390.00
Finagle Pol Roti 4S 310G,Rs 420.00
Milma Instant Shawarma 350G 8 Pieces,Rs 640.00
Keells Fish Bun 320G 10 Pieces,Rs 673.00
Premero Fine Dining Atta Paratha Onion 6S,Rs 590.00
Crescent Chicken Mini Kievs 12 Pcs,Rs 693.00 / Unit
Krest Chicken Chinese Rolls 300g,Rs 459.00 / Unit
Krest Chicken Drumsticks 300g,Rs 920.00
Krest Fish Fingers 250g,Rs 700.00
Finest Pork Back Bacon 500g,"Rs 2,900.00"
Finest Chicken Sausages Cheese & Onion 250g,Rs 690.00
Farm Fresh French Fries 500g,"Rs 1,310.00"
Goldi Chicken Sausages Supreme 250g,Rs 640.00
Goldi Chicken Lingus 500g,"Rs 1,220.00"
Sams Chicken Sausages 200g,Rs 590.00
Sams Chicken & Cheese Sausage 200g,Rs 710.00
Magic Ice Cream Chocolate Cone 120ml,Rs 160.00
Magic Ice Cream Heavenly Crunch Cone 120ml,Rs 180.00
Pizza Oven Party Pizza Chicken 12S 240g,"Rs 1,161.00 / Unit"
Pizza Oven Party Pizza Cheese 12S 230g,"Rs 1,190.00"
Eh I/C Wonder Bar Chocolate 70ml,Rs 100.00
Kotmale Cheese Mozzarella Block 200g,"Rs 1,050.00"
Crescent Chicken Meat Balls 200g,Rs 375.00
Bairaha Chicken Slices 150g,Rs 360.00 / Unit
Bairaha Chicken Sausages 300g,Rs 560.00 / Unit
Prima Treats Chicken Bacon 165g,Rs 655.00
Crescent Potato Kievs 20S 500g,"Rs 1,315.00"
Crescent Chickn Kochchi Bites 30 Pcs,"Rs 1,336.00 / Unit"
Crescent Mini Fish Cutlets 25S 500g,Rs 912.00 / Unit
Magic Ice Cream Vanilla Tub 1L,Rs 416.00 / Unit
Magic Ice Cream Vanilla Chocolate Mix Tub 1L,Rs 620.00
Magic Ice Cream Butterscotch With Nougat 1L,Rs 680.00 / Unit
Magic Ice Cream Chocolate Tub 1L,Rs 570.00
Pizza Oven Mini Pizza Base 5 Pieces 180G,Rs 540.00
Eh I/C Chocolate 2L,"Rs 1,180.00"
Eh I/C Strawberry 1L,Rs 600.00
Eh I/C Vanilla 2L,"Rs 1,080.00"
Eh I/C Vanilla 4L,"Rs 1,870.00"
Krest Chicken Meatballs 500g,Rs 900.00
Crescent Vegetable Samosa 360G 8Ps,Rs 579.00 / Unit
Sams Chicken Sausages 500g,Rs 960.00 / Unit
Crescent Chicken Dumplings 300g,Rs 905.00 / Unit
Fresh Harvest Prawns Cleaned Medium 500g,"Rs 3,451.00 / Unit"
Finagle Puff Pastry 400g,Rs 586.00 / Unit
Keells Spring Roll Chicken 12S 350g,Rs 820.00
Keells Spring Roll Vegetable 12S 350g,Rs 730.00
Kotmale Cheese Mozzarella Block 500g,"Rs 2,500.00"
Bairaha Chicken Kuruma Breast 300g,Rs 595.00 / Unit
Bairaha Chicken Whole Leg Marinated 1kg,"Rs 1,870.00 / Unit"
Krest Chicken Sausages Cheese &Onion 250G,Rs 785.00
Krest Chicken Sausages Garlic 250g,Rs 795.00
Tyj Samosa Wrappers 30S 170g,Rs 900.00
Krest Chicken Sausages Skinless 500g,"Rs 1,150.00"
Tyj Spring Roll Pastry Sheets 40S,"Rs 1,839.00"
Crescent Beef Meat Balls 200g,Rs 790.00
Highland I/C Chocolate 1L,Rs 650.00
Imorich I/C Hazelnut Gelato 1L,"Rs 1,450.00"
Keells Meatless Vege Sausages 160g,Rs 948.00 / Unit
Keells Parata Garlic 5S 350g,Rs 497.00
Elephant House Back Bacon 500g,"Rs 4,040.00"
Gills Chicken Cordon Bleu 400g,"Rs 1,665.00 / Unit"
Bairaha Chicken Sausagages Nai Miris 250G,Rs 590.00
Wow-B Chicken Strips 300g,Rs 845.00 / Unit
Wow-B Chicken Drumlets 250g,Rs 750.00
Krest Nai Miris Bite 240g,Rs 740.00
Sumeru Malabar Paratha 300g,Rs 935.00 / Unit
Emborg Cheese Mozzarella Block 200g,"Rs 1,690.00"
Emborg Garden Mix 450g,"Rs 1,150.00"
Krest Maalu Curry 200g,Rs 550.00
Krest Chicken Sausages Bockwurst 1kg,"Rs 2,095.00"
Finagle Fish Stuffed Roti 460G 6Pcs,Rs 752.00 / Unit
Alerics Ice Cream Rocky Road 1Ltr,"Rs 1,500.00"
Eh Pork Sausages 500g,"Rs 2,260.00"
Krest Chicken Sausages Nai Miris 500g,"Rs 1,300.00"
Krest Crispy Chic Fillet Strips 500g,"Rs 1,700.00"
Eh I/C Wonder Cone Value Pack 6S 480ml,Rs 540.00
Eh I/C Dbl Delight Choco+Vanila 2L,"Rs 1,250.00"
Bairaha Chicken Spicy Drumsticks 500g,"Rs 1,100.00"
Eh I/C Wonder Bar Multipk 6*360ml,Rs 540.00
Gills Fish Curry 200g,Rs 522.00 / Unit
Gills Fish Balls 200g,Rs 450.00 / Unit
Imorich I/C Choc Almnd Crunch Cone 120ml,Rs 220.00
Sams Fish Fingers 500g,"Rs 1,300.00"
Sams Chicken Drumstick 250g,Rs 710.00
Freshbitz Cassava French Fries 500g,Rs 885.00
Alerics Ice Cream Cookie Espresso 1L,"Rs 1,012.00 / Unit"
Alerics Ice Choc 6 Pack Box 200g,Rs 720.00 / Unit
Crizzpy's Talkys Chick Cutwings 500G,"Rs 1,560.00"
Crizzpy's Snackys Chicken Drumstick 500g,"Rs 1,630.00"
Milma Instant Tortillas 6Pcs 350g,Rs 640.00
Elephant House Chicken Sausages Cheesy 160g,Rs 600.00
Elephant House Bacon Ends 500g,"Rs 1,820.00"
Krest Fish Chinese Rolls 500g,Rs 900.00
Highland I/C Fruit & Nut 1L,Rs 950.00
Pizza Oven Sausage Roll 6 Pieces 320g,Rs 675.00 / Unit
Pizza Oven Plain Croissants 6S 170g,Rs 650.00
Krest Chicken Drumstick 1kg,"Rs 2,750.00"
Pizza Oven Arabic Breads 5Sâ 575G,Rs 790.00
Eh I/C Twist Choco/Vanila Ripple 1L,Rs 650.00
Spring Home Rotti Paratha Onion 320G,"Rs 1,200.00"
Spring Home Rotti Paratha Plain 320G,"Rs 1,110.00"
Krest Chicken Meatballs Kochchi 200g,Rs 450.00
Eh I/C Wonder Choc Shock 65ml,Rs 120.00
Krest Chicken Sausages Cheese &Onion 500G,"Rs 1,550.00"
Krest Chicken Sausages Bockwurst 400g,"Rs 1,090.00"
Krest Chicken Ham Slices 150g,Rs 700.00
Elephant House Streaky Bacon 150G,"Rs 1,170.00"
Spring Home Rotti Paratha Wholemeal 320G,"Rs 1,200.00"
Krest Chicken Roll Slices 150g,Rs 530.00
Pizza Oven Pita Bread 380g,Rs 750.00
Krest Vegetable Chinese Rolls 300g,Rs 450.00
Imorich Very Berry 1L,"Rs 1,290.00"
Krest Frankie Chicken Sausages Cheesyblast 250G,Rs 840.00
Krest Frankie Chicken Sausages 250g,Rs 725.00
Sams Chicken Chinese Roll 500g,Rs 820.00
Fresh Harvest Prawns - Sushi Ebi 200g,"Rs 2,600.00"
Crescent Chicken Kebab 300g,"Rs 1,300.00"
Eh I/C Pani Cadju Cone 120ml,Rs 160.00
Royal Chef Instant Poori 6 Pcs 155g,Rs 360.00
Elephant House Ice Cream Kulfi 50ml,Rs 100.00
Magic I/C Richy Rich 500ml,Rs 850.00
Sumeru Paneer Burger Patty 320g,"Rs 2,350.00"
Magic Coconut Bar 50Ml,Rs 150.00
Gills Chicken Donuts 400g,"Rs 1,332.00 / Unit"
Sumeru Paratha Whole Wheat 300g,"Rs 1,100.00"
Imorich I/C Rasberry Chscake Gelato 1L,"Rs 1,450.00"
Pa Gyoza Pastry 300g,"Rs 1,290.00"
Pa Wonton Pastry 200g,Rs 711.00 / Unit
Lapmc Soursop Frozen Pulp 500g,"Rs 1,020.00"
Imorich I/C Mocha Cone 180ml,Rs 220.00
Krest Farm House Sausages Chicken 325g,Rs 490.00
Eh I/C Vegan Chocolate 320ml,Rs 450.00
Eh Swedish Meat Balls 200g,Rs 990.00
Magic I/C Cappucino Cone 120ml,Rs 144.00 / Unit
Eh I/C Naarang & Sea Salt 60ml,Rs 80.00
Eh I/C Passion & Chilli 60ml,Rs 80.00
Crescent Spicy Chicken Popcorn 200g,Rs 775.00
Crescent Beef Samosa 360g,"Rs 1,280.00"
Crescent Mutton Kebab 300g,"Rs 2,500.00"
Startys Crispy Chicken Popcorn 300g,Rs 995.00
Krest Snack Party Platter 570g,"Rs 1,690.00"
Alerics I/C Energice Caffein Popsicle 6S,Rs 900.00
Crescent Smoked Beef Roll W/ Pepper 250g,"Rs 1,880.00"
Crescent Smoked Chicken Breast 250g,"Rs 1,175.00"
Crescent Honeyroast Chick Ham Slice 250g,Rs 910.00
Crescent Chicken Salami Slices 250g,"Rs 1,040.00"
Crescent Chicken Pepperoni Slices 250g,Rs 945.00 / Unit
Crescent Beef Salami Slices 250g,"Rs 1,590.00"
Crescent Beef Pepperoni Slices 250g,"Rs 1,900.00"
Alerics I/C Malt And Crunch 1L,"Rs 1,450.00"
Alerics I/C Isoice Caffein Popsicle 6S,Rs 900.00
Crescent Spicy Cheese Spring Roll 250g,Rs 950.00
Krest Chicken Burger Patty 240g,Rs 525.00
Prima Spicy Ramen Chicken Sausages 300g,Rs 780.00
Prima Spicy Ramen Chicken Burger 200g,Rs 468.00 / Unit
Alerics I/C Birthday Cake 1L,"Rs 1,350.00"
Alerics I/C Chocolate Brownie 1L,"Rs 1,200.00 / Unit"
Goldi Chicken Meatballs 200g,Rs 331.00 / Unit
Goldi Chicken Sausages 150g,Rs 331.00 / Unit
Finest Chicken Bockwurst 500g,Rs 960.00 / Unit
Goldi Pork Sausages 500g,"Rs 1,360.00 / Unit"
Goldi Pork Lingus 500g,"Rs 1,800.00"
Eh I/C Fruit & Nut Cone 120ml,Rs 160.00
Crescent Mutton Samosa 300g,"Rs 1,377.00 / Unit"
Mdk Parata 500g,Rs 585.00
Eh I/C Wonder Bite 60ml,Rs 180.00
Keells Naan Roti 5 Pieces 650g,Rs 600.00
Finest Chicken Sausages 500g,"Rs 1,350.00"
