Product Name,Price
Rancrisp Potato Chips Cheese & Onion 60g,Rs 330.00
Mr. Pop Spicy Net 30g,Rs 68.00 / Unit
Prima Toppz Broad Noodles 80g,Rs 140.00 / Unit
Tong Garden Coated Peanuts Bbq Flv 45g,Rs 365.00
Fortune Sunflower Oil 1L,"Rs 1,925.00"
Nestle Milkmaid 390g,Rs 790.00
Munchee Hawaian Cookies 100g,Rs 130.00
Samaayu Kolakenda Karapincha 50g,Rs 150.00
Ritzbury Choco Nut 45g,Rs 120.00
Keells Raw Curry Powder 100g,Rs 170.00
Keells Roasted Curry Powder 100g,Rs 190.00
Munchee Lemon Puff 100g,Rs 130.00
Maggi Coconut Milk Powder Pouch 800g,"Rs 3,100.00"
Keells Soya Meat Curry 90g,Rs 125.00
Cic White Basmathi Rice 1kg,Rs 700.00
Motha Gelatine 30g,Rs 346.00 / Unit
Munchee Cheese Buttons Biscuit 20g,Rs 50.00
Keells Whole Chilli 250g,Rs 385.00
Uswatte Tipi Tip Green Onion 10g,Rs 60.00
Motha Custard Powder Strawberry 100g,Rs 160.00
Finagle Kurakkan Diet Bread 270g,Rs 390.00
Catch Roasted Chilli Powder 100g,Rs 390.00
Prima Chakki Atta Flour 1kg,Rs 325.00
Pastarina Vite Pasta 400g,Rs 468.00 / Unit
Maliban Milk Short Cake Biscuits 85g,Rs 120.00
Maliban Cheese Bits Biscuit 170g,Rs 400.00
Maliban Nice Biscuit 100g,Rs 110.00
Prima Sunrise Crust Top Bread 400g,Rs 370.00
Samagi Gingelly Rolls 180G 12S,Rs 480.00
Lanka Soy Malu Devilled Prawn 90g,Rs 140.00
Munchee Vanilla Wafers 400g,Rs 520.00
Alli Stick Noodles 400g,Rs 246.00 / Unit
Kandos Nut Milk Chocolate 37G,Rs 100.00
Motha Jelly Blueberry 100g,Rs 207.00 / Unit
Ritzbury Chocolate Fingers 18g,Rs 40.00
Ma's Biriyani Masala Mix 50g,Rs 300.00
Captain Oats Instant Pouch 800g,"Rs 2,320.00"
Maliban Custard Cream Biscuits 410g,Rs 420.00
Kellogg's Rolled Oats 200g,Rs 380.00
Kellogg's Oats Heart To Heart 400G,Rs 603.00 / Unit
Mccurrie Unroasted Chilli Powder 100g,Rs 310.00
Sera Quick Soup Vegetable 50g,Rs 250.00
Mccurrie Mustard Seed 100g,Rs 145.00
Fortune Corn Oil 1L,"Rs 1,540.00"
Motha Corn Flour 100g,Rs 135.00 / Unit
