Product Name,Final Price,Original Price,Discount
Prima Swiss Roll Chocolate 225g,Rs 585.00 / Unit,Rs 650.00,10%
Eazy Cheezy Cheddar Cheese Spread 260g,Rs 970.00,,
Eazy Cheezy Cheese Spread 260g,Rs 970.00,,
Richlife Cheese Swiss 200g,Rs 900.00,,
Happy Cow Cheese Portion Paprika 140g,"Rs 1,161.00 / Unit","Rs 1,290.00",10%
Kotmale Non-Fat Yoghurt 450G,Rs 370.00,,
Buon Appetito Cheese Grated Parmesan 100G,"Rs 1,480.00",,
Pelwatte Butter Unsalted 200g,Rs 880.00,,
Pelwatte Garlic Butter 200g,Rs 950.00,,
Ambewela Processed Cheese 200g,"Rs 1,050.00",,
